secid,date,ticker,low,high,open,close,volume
108105,20210104,SPX,3662.71,3769.99,3764.61,3700.65,0
108105,20210105,SPX,3695.07,3737.83,3698.02,3726.86,0
108105,20210106,SPX,3705.34,3783.04,3712.2,3748.14,0
108105,20210107,SPX,3764.71,3811.55,3764.71,3803.79,0
108105,20210108,SPX,3783.6,3826.69,3815.05,3824.68,0
108105,20210111,SPX,3789.02,3817.86,3803.14,3799.61,0
108105,20210112,SPX,3776.51,3810.78,3801.62,3801.19,0
108105,20210113,SPX,3791.5,3820.96,3802.23,3809.84,0
108105,20210114,SPX,3792.86,3823.6,3814.98,3795.54,0
108105,20210115,SPX,3749.62,3788.73,3788.73,3768.25,0
108105,20210119,SPX,3780.37,3804.53,3781.88,3798.91,0
108105,20210120,SPX,3816.22,3859.75,3816.22,3851.85,0
108105,20210121,SPX,3845.05,3861.45,3857.46,3853.07,0
108105,20210122,SPX,3830.41,3852.31,3844.24,3841.47,0
108105,20210125,SPX,3797.16,3859.23,3851.68,3855.36,0
108105,20210126,SPX,3847.78,3870.9,3862.96,3849.62,0
108105,20210127,SPX,3732.48,3836.83,3836.83,3750.77,0
108105,20210128,SPX,3755.75,3830.5,3755.75,3787.38,0
108105,20210129,SPX,3694.12,3778.05,3778.05,3714.24,0
108105,20210201,SPX,3725.62,3784.32,3731.17,3773.86,0
108105,20210202,SPX,3791.84,3843.09,3791.84,3826.31,0
108105,20210203,SPX,3816.68,3847.51,3840.27,3830.17,0
108105,20210204,SPX,3836.66,3872.42,3836.66,3871.74,0
108105,20210205,SPX,3874.93,3894.56,3878.3,3886.83,0
108105,20210208,SPX,3892.59,3915.77,3892.59,3915.59,0
108105,20210209,SPX,3902.64,3918.35,3910.49,3911.23,0
108105,20210210,SPX,3884.94,3931.5,3920.78,3909.88,0
108105,20210211,SPX,3890.39,3925.99,3916.4,3916.38,0
108105,20210212,SPX,3905.78,3937.23,3911.65,3934.83,0
108105,20210216,SPX,3923.85,3950.43,3939.61,3932.59,0
108105,20210217,SPX,3900.43,3933.61,3918.5,3931.33,0
108105,20210218,SPX,3885.03,3921.98,3915.86,3913.97,0
108105,20210219,SPX,3903.07,3930.41,3921.16,3906.71,0
108105,20210222,SPX,3874.71,3902.92,3885.55,3876.5,0
108105,20210223,SPX,3805.59,3895.98,3857.07,3881.37,0
108105,20210224,SPX,3859.6,3928.65,3873.71,3925.43,0
108105,20210225,SPX,3814.04,3925.02,3915.8,3829.34,0
108105,20210226,SPX,3789.54,3861.08,3839.66,3811.15,0
108105,20210301,SPX,3842.51,3914.5,3842.51,3901.82,0
108105,20210302,SPX,3868.57,3906.41,3903.64,3870.29,0
108105,20210303,SPX,3818.86,3874.47,3863.99,3819.72,0
108105,20210304,SPX,3723.34,3843.67,3818.53,3768.47,0
108105,20210305,SPX,3730.19,3851.69,3793.58,3841.94,0
108105,20210308,SPX,3819.25,3881.06,3844.39,3821.35,0
108105,20210309,SPX,3851.93,3903.76,3851.93,3875.44,0
108105,20210310,SPX,3885.73,3917.35,3891.99,3898.81,0
108105,20210311,SPX,3915.54,3960.27,3915.54,3939.34,0
108105,20210312,SPX,3915.21,3944.99,3924.52,3943.34,0
108105,20210315,SPX,3923.54,3970.08,3942.96,3968.94,0
108105,20210316,SPX,3953.44,3981.04,3973.59,3962.71,0
108105,20210317,SPX,3935.74,3983.87,3949.57,3974.12,0
108105,20210318,SPX,3910.86,3969.62,3953.5,3915.46,0
108105,20210319,SPX,3886.75,3930.12,3913.14,3913.1,0
108105,20210322,SPX,3914.16,3955.31,3916.48,3940.59,0
108105,20210323,SPX,3901.57,3949.13,3937.6,3910.52,0
108105,20210324,SPX,3889.07,3942.08,3919.93,3889.14,0
108105,20210325,SPX,3853.5,3919.54,3879.34,3909.52,0
108105,20210326,SPX,3917.12,3978.19,3917.12,3974.54,0
108105,20210329,SPX,3943.25,3981.83,3969.31,3971.09,0
108105,20210330,SPX,3944.35,3968.01,3963.34,3958.55,0
108105,20210331,SPX,3966.98,3994.41,3967.25,3972.89,0
108105,20210401,SPX,3992.78,4020.63,3992.78,4019.87,0
108105,20210405,SPX,4034.44,4083.42,4034.44,4077.91,0
108105,20210406,SPX,4068.14,4086.23,4075.57,4073.94,0
108105,20210407,SPX,4068.31,4083.13,4074.29,4079.95,0
108105,20210408,SPX,4082.54,4098.19,4089.95,4097.17,0
108105,20210409,SPX,4095.51,4129.48,4096.11,4128.8,0
108105,20210412,SPX,4114.82,4131.76,4124.71,4127.99,0
108105,20210413,SPX,4124.43,4148,4130.1,4141.59,0
108105,20210414,SPX,4120.87,4151.69,4141.58,4124.66,0
108105,20210415,SPX,4139.76,4173.49,4139.76,4170.42,0
108105,20210416,SPX,4170.75,4191.31,4174.14,4185.47,0
108105,20210419,SPX,4150.47,4180.81,4179.8,4163.26,0
108105,20210420,SPX,4118.38,4159.18,4159.18,4134.94,0
108105,20210421,SPX,4126.35,4175.02,4128.42,4173.42,0
108105,20210422,SPX,4123.69,4179.57,4170.46,4134.98,0
108105,20210423,SPX,4138.78,4194.17,4138.78,4180.17,0
108105,20210426,SPX,4182.36,4194.19,4185.03,4187.62,0
108105,20210427,SPX,4176.22,4193.35,4188.25,4186.72,0
108105,20210428,SPX,4181.78,4201.53,4185.14,4183.18,0
108105,20210429,SPX,4176.81,4218.78,4206.14,4211.47,0
108105,20210430,SPX,4174.85,4198.1,4198.1,4181.17,0
108105,20210503,SPX,4188.03,4209.39,4191.98,4192.66,0
108105,20210504,SPX,4128.59,4179.04,4179.04,4164.66,0
108105,20210505,SPX,4160.94,4187.72,4177.06,4167.59,0
108105,20210506,SPX,4147.33,4202.7,4169.14,4201.62,0
108105,20210507,SPX,4201.64,4238.04,4210.34,4232.6,0
108105,20210510,SPX,4188.13,4236.39,4228.29,4188.43,0
108105,20210511,SPX,4111.53,4162.04,4150.34,4152.1,0
